RefDes,Description,Value,X,Y,rotation,top/bottom
R25,"0402_sr.fp","sr-r-10k-0402",41.80,22.50,180,top
R27,"0402_sr.fp","sr-r-10k-0402",41.40,25.90,270,top
R28,"0402_sr.fp","sr-r-10k-0402",41.40,24.00,90,top
R17,"0402_sr.fp","sr-r-10k-0402",41.70,31.20,90,top
C33,"1210_sr.fp","sr-c-22u-1210-16v",54.70,54.00,180,top
D8,"DO214AC_sr.fp","sr-d-smaj15ca",49.00,54.00,180,top
C34,"0603_sr.fp","sr-c-100n-0603-50v",56.80,61.90,90,top
C21,"0603_sr.fp","sr-c-100n-0603-50v",12.70,61.60,270,top
C35,"0402_sr.fp","sr-c-1n5-0402-50v",52.70,51.30,180,top
R24,"0402_sr.fp","sr-r-10k-0402",44.40,46.70,0,top
Q6,"SOT323_sr.fp","sr-fet-n-bsh121",44.40,48.58,90,top
R22,"0402_sr.fp","sr-r-10k-0402",54.60,51.30,0,top
Q5,"PowerPAK1212_sr.fp","sr-fet-p-si7655adn",48.39,48.80,180,top
Q4,"PowerPAK1212_sr.fp","sr-fet-p-si7655adn",55.11,48.80,0,top
R23,"0402_sr.fp","sr-r-10k-0402",59.10,53.20,270,top
Q3,"PowerPAK1212_sr.fp","sr-fet-p-si7655adn",58.00,58.31,90,top
R15,"0402_sr.fp","sr-r-10k-0402",31.70,52.80,270,top
R20,"0402_sr.fp","sr-r-2k49-0402",31.30,63.20,0,top
R16,"0402_sr.fp","sr-r-330-0402",31.30,61.80,180,top
C30,"0402_sr.fp","sr-c-1n5-0402-50v",29.50,62.50,90,top
U5,"PVX012A0X3_sr.fp","sr-ic-pvx012a0x3",38.72,58.40,180,top
C22,"0402_sr.fp","sr-c-1u-0402-10v",11.30,51.80,270,top
C20,"0603_sr.fp","sr-c-1u-0603-16v",11.30,54.50,90,top
U4,"SOT89_sr.fp","sr-ic-mcp1703t5002emb",14.23,53.50,0,top
U6,"SOT28_sr.fp","sr-ic-ina219",25.60,54.20,180,top
J5,"camcon_50_2_sr.fp","sr-cn-camcon2w-5mm",50.40,58.00,180,top
J4,"camcon_75_2_sr.fp","sr-cn-camcon2w",21.00,58.00,180,top
